Component_ID,Teststation_ID,Feature1,Feature2,Date,Time,Category,Product_Type,Error_Message
532,1,1.3,58,2020-12-10,00:02:41,Red,PT1,Ok
955,1,1.2,52,2021-01-15,00:03:47,Yellow,PT2,Ok
51,1,1.3,59,2020-12-02,00:02:40,Blue,PT2,Ok
276,1,1.3,56,2020-12-17,00:02:19,Red,PT1,Ok
770,1,1.2,56,2020-12-02,00:03:27,Green,PT2,Ok
720,1,1.3,55,2021-01-29,00:02:10,Yellow,PT1,Ok
182,1,1.3,58,2021-01-14,00:03:12,Yellow,PT2,Ok
830,1,1.3,50,2021-01-10,00:02:58,Red,PT2,Ok
737,1,1.2,57,2021-01-20,00:03:52,Yellow,PT2,Ok
629,1,1.3,50,2020-12-09,00:03:26,Blue,PT1,Ok
246,1,1.3,58,2020-12-29,00:03:26,Yellow,PT2,Ok
16,1,1.2,51,2021-01-24,00:03:39,Yellow,PT1,Ok
997,1,1.3,58,2021-01-17,00:02:52,Blue,PT1,
929,1,1.3,51,2020-12-21,00:01:26,Green,PT2,Ok
730,1,1.3,59,2020-12-25,00:03:09,Blue,PT1,Ok
700,1,1.2,54,2020-12-25,00:02:05,Red,PT2,Ok
894,1,1.3,55,2020-12-17,00:01:20,Red,PT2,TemperatureTooHigh
808,1,1.2,58,2020-12-27,00:01:14,Yellow,PT2,Ok
703,1,1.2,57,2020-12-23,00:03:41,Red,PT2,TemperatureTooHigh
417,1,1.2,57,2020-12-24,00:02:36,Red,PT1,
652,1,1.3,58,2021-01-19,00:02:43,Red,PT1,92679309
86,1,1.3,52,2021-01-06,00:02:15,Red,PT1,Ok
271,1,1.3,57,2020-12-17,00:01:52,Blue,PT2,Ok
387,1,1.2,52,2020-12-02,00:02:45,Green,PT1,Ok
881,1,1.2,58,2020-12-28,00:02:08,Green,PT2,TemperatureTooHigh
654,1,1.3,57,2021-01-06,00:02:56,Red,PT2,TemperatureTooHigh
744,1,1.2,55,2020-12-13,00:02:22,Blue,PT2,Ok
554,1,1.2,51,2020-12-27,00:01:00,Blue,PT1,Ok
313,1,1.3,55,2021-01-09,00:01:15,Blue,PT2,49604831
259,1,1.2,57,2021-01-08,00:03:00,Blue,PT1,Ok
262,1,1.2,51,2020-12-14,00:02:25,Yellow,PT2,Ok
363,1,1.3,59,2021-01-11,00:03:50,Green,PT1,Ok
366,1,1.2,57,2021-01-07,00:02:36,Yellow,PT2,TemperatureTooHigh
622,1,1.2,54,2020-12-14,00:01:44,Red,PT2,Ok
92,1,1.3,57,2021-01-24,00:03:35,Green,PT2,Ok
360,1,1.2,50,2021-01-14,00:03:35,Red,PT1,Ok
824,1,1.3,55,2021-01-18,00:01:00,Blue,PT1,Ok
835,1,1.2,55,2020-12-24,00:02:10,Blue,PT1,Ok
867,1,1.3,58,2021-01-12,00:03:56,Red,PT1,Ok
743,1,1.3,52,2020-12-10,00:01:56,Yellow,PT1,Ok
550,1,1.2,58,2021-01-23,00:01:11,Red,PT2,Ok
755,1,1.3,53,2020-12-21,00:03:15,Yellow,PT2,Ok
