Component_ID,Teststation_ID,Feature3,Feature4,Date,Time,Product_Type,Error_Message
791,2,94.59999999999974,12,2021-02-08,00:01:52,PT2,Ok
635,2,91.59999999999991,14,2021-02-19,00:03:32,PT1,TemperatureTooHigh
575,2,95.1999999999997,12,2021-02-12,00:01:12,PT2,TemperatureTooHigh
977,2,93.79999999999978,13,2021-02-23,00:02:20,PT2,Ok
259,2,90.59999999999997,14,2021-02-18,00:03:16,PT1,Ok
896,2,91.7999999999999,14,2021-02-12,00:03:49,PT1,TemperatureTooHigh
384,2,95.09999999999971,14,2021-02-03,00:03:11,PT2,Ok
813,2,92.09999999999988,14,2021-02-18,00:01:02,PT1,Ok
472,2,95.1999999999997,12,2021-02-10,00:03:31,PT2,Ok
808,2,91.89999999999989,14,2021-02-19,00:03:22,PT2,Ok
832,2,93.19999999999982,12,2021-02-01,00:03:39,PT2,Ok
721,2,91.6999999999999,12,2021-02-21,00:02:43,PT1,Ok
75,2,92.59999999999985,12,2021-02-13,00:03:44,PT2,Ok
87,2,93.89999999999978,14,2021-02-15,00:03:42,PT2,Ok
248,2,91.7999999999999,13,2021-02-16,00:03:50,PT1,5983299
365,2,91.29999999999993,12,2021-02-09,00:03:42,PT1,TemperatureTooLow
190,2,90.89999999999995,12,2021-02-16,00:02:01,PT2,25470065
69,2,93.09999999999982,13,2021-02-06,00:03:45,PT2,Ok
737,2,90.99999999999994,12,2021-02-17,00:03:56,PT2,Ok
5,2,95.49999999999969,14,2021-02-15,00:02:53,PT2,TemperatureTooHigh
739,2,95.2999999999997,14,2021-02-13,00:03:41,PT2,Ok
957,2,92.29999999999987,14,2021-02-12,00:02:56,PT1,Ok
797,2,91.6999999999999,14,2021-02-11,00:03:17,PT2,Ok
991,2,91.49999999999991,12,2021-02-24,00:01:42,PT2,TemperatureTooLow
214,2,93.79999999999978,13,2021-02-02,00:01:08,PT1,Ok
917,2,91.09999999999994,14,2021-02-20,00:03:29,PT2,Ok
466,2,93.4999999999998,14,2021-02-11,00:02:12,PT2,TemperatureTooHigh
673,2,94.19999999999976,12,2021-02-15,00:01:46,PT2,Ok
281,2,94.39999999999975,13,2021-02-24,00:02:24,PT2,TemperatureTooLow
732,2,91.99999999999989,13,2021-02-15,00:02:49,PT2,
984,2,94.69999999999973,13,2021-02-02,00:01:19,PT2,TemperatureTooHigh
985,2,95.1999999999997,12,2021-02-08,00:03:11,PT1,Ok
