Component_ID,Teststation_ID,Date,Time,Product_Type,Error_Message
313,3,2021-03-15,00:03:33,PT1,TemperatureTooLow
555,3,2021-03-25,00:01:56,PT2,TemperatureTooHigh
814,3,2021-03-18,00:03:33,PT1,TemperatureTooHigh
543,3,2021-03-16,00:02:44,PT2,Ok
835,3,2021-03-16,00:02:22,PT2,TemperatureTooHigh
930,3,2021-03-25,00:02:37,PT1,Ok
174,3,2021-03-05,00:01:21,PT2,Ok
62,3,2021-03-29,00:02:06,PT1,Ok
554,3,2021-03-10,00:03:40,PT2,TemperatureTooHigh
519,3,2021-03-15,00:02:22,PT1,Ok
435,3,2021-03-01,00:03:53,PT1,TemperatureTooLow
354,3,2021-03-03,00:03:43,PT2,Ok
48,3,2021-03-07,00:03:29,PT2,Ok
982,3,2021-03-09,00:03:59,PT2,TemperatureTooLow
851,3,2021-03-04,00:03:17,PT1,Ok
766,3,2021-03-05,00:01:05,PT1,Ok
638,3,2021-03-29,00:01:27,PT2,Ok
626,3,2021-03-23,00:03:18,PT1,TemperatureTooHigh
717,3,2021-03-16,00:03:46,PT2,Ok
737,3,2021-03-21,00:02:09,PT1,TemperatureTooLow
860,3,2021-03-13,00:03:37,PT1,Ok
478,3,2021-03-06,00:02:44,PT1,Ok
907,3,2021-03-18,00:02:27,PT1,Ok
921,3,2021-03-01,00:03:05,PT2,Ok
883,3,2021-03-24,00:02:29,PT2,TemperatureTooLow
156,3,2021-03-25,00:03:59,PT1,Ok
35,3,2021-03-14,00:03:01,PT1,TemperatureTooLow
611,3,2021-03-30,00:03:36,PT1,TemperatureTooLow
305,3,2021-03-26,00:03:07,PT1,Ok
23,3,2021-03-21,00:02:50,PT1,TemperatureTooLow
130,3,2021-03-27,00:02:28,PT1,TemperatureTooLow
18,3,2021-03-07,00:03:07,PT1,89306160
362,3,2021-03-17,00:01:14,PT1,TemperatureTooLow
273,3,2021-03-21,00:02:20,PT1,Ok
689,3,2021-03-08,00:01:23,PT2,Ok
438,3,2021-03-24,00:03:37,PT2,TemperatureTooLow
25,3,2021-03-23,00:03:22,PT1,Ok
466,3,2021-03-25,00:03:19,PT1,Ok
199,3,2021-03-06,00:02:27,PT2,TemperatureTooHigh
635,3,2021-03-08,00:02:50,PT1,Ok
287,3,2021-03-24,00:03:10,PT1,Ok
570,3,2021-03-19,00:01:03,PT2,Ok
402,3,2021-03-01,00:02:45,PT1,Ok
909,3,2021-03-14,00:03:21,PT2,Ok
416,3,2021-03-28,00:01:04,PT2,Ok
550,3,2021-03-09,00:01:39,PT1,Ok
902,3,2021-03-16,00:03:12,PT2,TemperatureTooLow
331,3,2021-03-24,00:03:19,PT1,Ok
716,3,2021-03-11,00:03:12,PT2,Ok
316,3,2021-03-12,00:03:57,PT2,Ok
721,3,2021-03-06,00:02:06,PT2,
984,3,2021-03-01,00:02:59,PT2,Ok
214,3,2021-03-12,00:02:38,PT2,TemperatureTooHigh
830,3,2021-03-27,00:01:36,PT2,Ok
712,3,2021-03-12,00:01:58,PT1,Ok
26,3,2021-03-26,00:01:41,PT1,TemperatureTooLow
671,3,2021-03-26,00:02:37,PT1,Ok
808,3,2021-03-31,00:01:40,PT1,Ok
193,3,2021-03-29,00:01:49,PT2,TemperatureTooLow
661,3,2021-03-27,00:01:20,PT1,Ok
239,3,2021-03-20,00:02:00,PT2,Ok
782,3,2021-03-25,00:03:01,PT1,
393,3,2021-03-22,00:03:56,PT1,Ok
175,3,2021-03-10,00:01:19,PT1,Ok
996,3,2021-03-22,00:02:46,PT1,Ok
462,3,2021-03-10,00:01:48,PT2,Ok
69,3,2021-03-21,00:01:09,PT2,Ok
151,3,2021-03-08,00:02:36,PT1,Ok
210,3,2021-03-05,00:01:54,PT2,Ok
510,3,2021-03-27,00:01:31,PT1,Ok
764,3,2021-03-19,00:01:35,PT1,Ok
180,3,2021-03-03,00:03:36,PT1,Ok
290,3,2021-03-22,00:01:56,PT1,Ok
595,3,2021-03-28,00:01:45,PT2,Ok
881,3,2021-03-24,00:02:36,PT2,
926,3,2021-03-10,00:03:01,PT1,Ok
206,3,2021-03-09,00:01:41,PT1,Ok
73,3,2021-03-31,00:03:36,PT1,TemperatureTooHigh
542,3,2021-03-28,00:01:22,PT1,Ok
188,3,2021-03-26,00:03:14,PT1,Ok
432,3,2021-03-01,00:01:07,PT2,Ok
342,3,2021-03-31,00:03:16,PT1,Ok
581,3,2021-03-01,00:02:09,PT1,
458,3,2021-03-12,00:03:19,PT2,Ok
855,3,2021-03-04,00:02:28,PT2,Ok
579,3,2021-03-11,00:03:51,PT1,Ok
643,3,2021-03-21,00:02:36,PT1,Ok
846,3,2021-03-16,00:02:28,PT1,Ok
334,3,2021-03-14,00:02:20,PT2,TemperatureTooLow
270,3,2021-03-18,00:03:39,PT2,Ok
238,3,2021-03-26,00:01:51,PT2,TemperatureTooLow
183,3,2021-03-09,00:01:59,PT2,Ok
547,3,2021-03-18,00:01:14,PT1,TemperatureTooLow
582,3,2021-03-22,00:02:31,PT1,Ok
