Component_ID,Teststation_ID,Feature1,Feature2,Date,Time,Category,Product_Type,Error_Message
931,1,1.3,57,2021-01-08,00:02:27,Red,PT1,Ok
37,1,1.3,59,2021-01-04,00:01:20,Green,PT2,Ok
268,1,1.2,57,2020-12-19,00:03:50,Red,PT1,Ok
520,1,1.2,57,2020-12-06,00:02:16,Green,PT1,Ok
338,1,1.3,53,2021-01-27,00:03:08,Red,PT2,Ok
319,1,1.2,51,2021-01-20,00:02:03,Blue,PT1,Ok
289,1,1.3,51,2021-01-26,00:02:51,Blue,PT2,Ok
596,1,1.3,58,2021-01-10,00:01:14,Red,PT1,TemperatureTooHigh
572,1,1.2,54,2020-12-13,00:01:13,Yellow,PT1,Ok
426,1,1.2,53,2021-01-27,00:01:16,Red,PT1,Ok
932,1,1.2,51,2020-12-29,00:03:33,Green,PT1,Ok
287,1,1.2,53,2020-12-10,00:01:48,Yellow,PT1,Ok
391,1,1.2,58,2021-01-01,00:02:33,Green,PT1,Ok
209,1,1.3,59,2020-12-15,00:01:38,Yellow,PT1,Ok
987,1,1.3,55,2021-01-12,00:03:09,Yellow,PT2,Ok
728,1,1.2,56,2021-01-29,00:02:29,Green,PT1,Ok
234,1,1.3,55,2021-01-10,00:01:01,Green,PT1,TemperatureTooLow
959,1,1.3,53,2020-12-03,00:01:24,Yellow,PT2,Ok
46,1,1.2,52,2021-01-26,00:02:22,Green,PT1,Ok
920,1,1.2,51,2021-01-15,00:03:43,Red,PT1,Ok
938,1,1.2,50,2021-01-11,00:03:09,Green,PT1,Ok
645,1,1.3,54,2020-12-15,00:02:16,Yellow,PT2,Ok
581,1,1.3,52,2021-01-15,00:02:20,Blue,PT1,Ok
315,1,1.3,54,2021-01-05,00:02:52,Blue,PT2,Ok
672,1,1.3,54,2020-12-16,00:02:48,Yellow,PT1,Ok
903,1,1.3,57,2020-12-03,00:02:47,Red,PT2,Ok
244,1,1.3,51,2020-12-07,00:03:28,Blue,PT1,Ok
317,1,1.2,53,2021-01-29,00:01:20,Red,PT2,Ok
753,1,1.2,50,2021-01-11,00:01:03,Red,PT1,Ok
231,1,1.3,56,2021-01-01,00:03:52,Red,PT1,Ok
195,1,1.3,57,2021-01-24,00:02:03,Red,PT2,Ok
376,1,1.2,58,2021-01-08,00:01:46,Green,PT2,TemperatureTooHigh
131,1,1.2,51,2020-12-10,00:03:41,Yellow,PT2,Ok
768,1,1.2,50,2021-01-13,00:01:54,Blue,PT2,Ok
752,1,1.2,57,2021-01-08,00:03:29,Green,PT1,Ok
124,1,1.2,53,2020-12-07,00:02:31,Red,PT1,Ok
446,1,1.3,58,2020-12-19,00:03:06,Green,PT2,Ok
737,1,1.2,54,2021-01-24,00:03:00,Red,PT2,Ok
651,1,1.2,54,2020-12-21,00:01:03,Green,PT1,Ok
227,1,1.2,57,2020-12-24,00:02:00,Yellow,PT1,Ok
857,1,1.2,52,2020-12-02,00:02:06,Blue,PT1,Ok
716,1,1.2,51,2020-12-03,00:01:25,Green,PT2,Ok
133,1,1.3,58,2021-01-14,00:02:21,Red,PT1,Ok
138,1,1.3,56,2020-12-22,00:03:17,Yellow,PT2,Ok
927,1,1.2,58,2020-12-15,00:02:47,Green,PT2,Ok
202,1,1.3,54,2020-12-23,00:03:58,Red,PT2,Ok
214,1,1.2,51,2021-01-25,00:01:21,Red,PT2,Ok
516,1,1.2,56,2021-01-01,00:02:12,Green,PT1,Ok
87,1,1.3,50,2020-12-07,00:02:56,Yellow,PT1,Ok
934,1,1.2,54,2020-12-21,00:01:25,Blue,PT2,Ok
714,1,1.2,56,2021-01-03,00:01:54,Blue,PT1,Ok
363,1,1.2,56,2020-12-20,00:02:18,Yellow,PT1,Ok
157,1,1.3,54,2021-01-20,00:01:08,Yellow,PT1,Ok
129,1,1.2,59,2020-12-18,00:01:52,Red,PT1,Ok
52,1,1.2,53,2021-01-02,00:01:38,Red,PT1,Ok
504,1,1.3,55,2020-12-22,00:03:01,Red,PT2,Ok
83,1,1.3,56,2020-12-16,00:03:00,Blue,PT1,Ok
490,1,1.3,53,2020-12-24,00:02:48,Red,PT1,
401,1,1.2,50,2021-01-20,00:03:55,Red,PT2,Ok
521,1,1.3,51,2021-01-26,00:02:31,Yellow,PT1,Ok
354,1,1.2,51,2021-01-31,00:02:50,Yellow,PT2,Ok
633,1,1.2,57,2020-12-16,00:02:57,Blue,PT1,Ok
946,1,1.2,58,2021-01-10,00:03:32,Green,PT2,Ok
416,1,1.3,59,2021-01-04,00:03:16,Green,PT1,Ok
585,1,1.3,52,2020-12-30,00:02:26,Blue,PT1,Ok
4,1,1.3,57,2021-01-19,00:03:07,Blue,PT2,Ok
708,1,1.2,59,2020-12-18,00:02:02,Yellow,PT2,Ok
400,1,1.3,53,2020-12-26,00:01:57,Blue,PT2,Ok
414,1,1.2,57,2020-12-03,00:03:54,Green,PT1,Ok
340,1,1.3,52,2021-01-10,00:02:03,Blue,PT2,Ok
970,1,1.2,57,2020-12-31,00:02:23,Red,PT1,Ok
219,1,1.3,57,2020-12-11,00:02:52,Yellow,PT2,Ok
794,1,1.2,59,2020-12-12,00:02:28,Yellow,PT1,Ok
224,1,1.3,52,2021-01-01,00:03:49,Red,PT2,Ok
601,1,1.2,58,2020-12-25,00:02:42,Green,PT1,TemperatureTooHigh
656,1,1.2,54,2021-01-16,00:03:44,Red,PT2,Ok
950,1,1.2,54,2020-12-14,00:02:35,Yellow,PT1,TemperatureTooHigh
242,1,1.3,55,2020-12-21,00:02:34,Green,PT1,Ok
662,1,1.2,54,2021-01-14,00:03:26,Green,PT1,Ok
386,1,1.2,56,2021-01-05,00:03:21,Green,PT2,Ok
951,1,1.3,56,2020-12-28,00:02:22,Yellow,PT1,Ok
194,1,1.3,52,2020-12-31,00:03:03,Yellow,PT2,Ok
168,1,1.2,58,2021-01-14,00:01:12,Blue,PT1,Ok
77,1,1.2,59,2021-01-02,00:02:49,Green,PT1,Ok
53,1,1.3,54,2020-12-20,00:03:17,Blue,PT1,Ok
428,1,1.3,56,2020-12-09,00:01:04,Yellow,PT1,Ok
823,1,1.2,59,2021-01-31,00:02:14,Green,PT1,Ok
90,1,1.2,54,2020-12-21,00:03:40,Green,PT1,TemperatureTooLow
815,1,1.2,53,2021-01-01,00:01:11,Green,PT2,Ok
266,1,1.3,58,2021-01-03,00:03:25,Red,PT1,Ok
318,1,1.2,56,2020-12-14,00:02:00,Yellow,PT2,Ok
120,1,1.2,52,2020-12-16,00:02:54,Blue,PT1,TemperatureTooHigh
985,1,1.2,53,2021-01-06,00:03:10,Green,PT1,Ok
473,1,1.3,57,2020-12-03,00:02:53,Yellow,PT2,Ok
827,1,1.3,54,2021-01-07,00:03:15,Green,PT1,Ok
981,1,1.3,52,2020-12-04,00:01:23,Yellow,PT2,Ok
190,1,1.3,54,2020-12-19,00:02:36,Green,PT1,Ok
562,1,1.3,53,2020-12-10,00:01:43,Red,PT2,Ok
