Component_ID,Teststation_ID,Date,Time,Product_Type,Error_Message
285,3,2021-03-21,00:02:26,PT1,TemperatureTooHigh
44,3,2021-03-10,00:02:29,PT2,TemperatureTooLow
949,3,2021-03-04,00:02:56,PT1,Ok
868,3,2021-03-26,00:02:10,PT1,TemperatureTooHigh
429,3,2021-03-09,00:03:11,PT2,TemperatureTooLow
958,3,2021-03-08,00:02:09,PT1,TemperatureTooLow
481,3,2021-03-03,00:03:07,PT2,Ok
808,3,2021-03-16,00:03:37,PT2,TemperatureTooLow
703,3,2021-03-29,00:01:46,PT1,Ok
554,3,2021-03-15,00:03:21,PT1,TemperatureTooLow
610,3,2021-03-22,00:02:16,PT1,TemperatureTooHigh
532,3,2021-03-11,00:02:05,PT1,TemperatureTooLow
961,3,2021-03-13,00:01:15,PT2,Ok
867,3,2021-03-01,00:02:09,PT2,Ok
115,3,2021-03-16,00:03:06,PT2,Ok
30,3,2021-03-11,00:02:00,PT1,Ok
888,3,2021-03-12,00:02:40,PT1,
833,3,2021-03-25,00:01:19,PT1,Ok
854,3,2021-03-06,00:03:56,PT2,TemperatureTooLow
47,3,2021-03-20,00:02:19,PT2,Ok
587,3,2021-03-01,00:01:53,PT1,Ok
333,3,2021-03-15,00:01:42,PT1,TemperatureTooLow
797,3,2021-03-03,00:01:41,PT2,Ok
59,3,2021-03-20,00:01:34,PT2,Ok
383,3,2021-03-17,00:01:28,PT1,Ok
613,3,2021-03-04,00:02:15,PT1,Ok
322,3,2021-03-08,00:02:29,PT2,Ok
709,3,2021-03-10,00:02:13,PT1,Ok
922,3,2021-03-28,00:02:00,PT2,Ok
439,3,2021-03-14,00:01:31,PT1,Ok
726,3,2021-03-06,00:03:24,PT2,Ok
723,3,2021-03-21,00:01:29,PT1,Ok
856,3,2021-03-02,00:02:56,PT2,Ok
68,3,2021-03-11,00:03:22,PT2,Ok
148,3,2021-03-25,00:03:45,PT2,TemperatureTooLow
239,3,2021-03-07,00:02:11,PT2,Ok
897,3,2021-03-11,00:03:50,PT1,Ok
219,3,2021-03-14,00:01:33,PT1,Ok
299,3,2021-03-06,00:01:22,PT1,TemperatureTooHigh
838,3,2021-03-16,00:02:31,PT2,Ok
338,3,2021-03-29,00:03:47,PT2,Ok
823,3,2021-03-03,00:02:54,PT1,TemperatureTooLow
378,3,2021-03-09,00:01:47,PT2,Ok
451,3,2021-03-11,00:02:42,PT2,
494,3,2021-03-31,00:02:15,PT1,Ok
88,3,2021-03-26,00:03:45,PT1,TemperatureTooLow
565,3,2021-03-31,00:03:44,PT1,TemperatureTooHigh
947,3,2021-03-25,00:03:32,PT2,TemperatureTooLow
598,3,2021-03-22,00:02:10,PT1,Ok
228,3,2021-03-26,00:02:48,PT1,Ok
446,3,2021-03-31,00:02:56,PT2,Ok
687,3,2021-03-30,00:02:41,PT2,TemperatureTooLow
677,3,2021-03-29,00:03:28,PT1,Ok
757,3,2021-03-09,00:01:40,PT1,Ok
388,3,2021-03-13,00:01:07,PT2,TemperatureTooLow
933,3,2021-03-28,00:02:30,PT1,TemperatureTooLow
90,3,2021-03-20,00:02:06,PT2,Ok
324,3,2021-03-15,00:01:40,PT1,TemperatureTooLow
461,3,2021-03-06,00:02:47,PT2,Ok
246,3,2021-03-06,00:02:45,PT1,TemperatureTooHigh
53,3,2021-03-24,00:02:27,PT1,Ok
485,3,2021-03-19,00:03:36,PT2,TemperatureTooHigh
635,3,2021-03-25,00:02:47,PT2,Ok
520,3,2021-03-02,00:02:54,PT1,TemperatureTooLow
124,3,2021-03-20,00:03:34,PT2,TemperatureTooLow
373,3,2021-03-17,00:02:57,PT2,Ok
772,3,2021-03-03,00:01:48,PT1,TemperatureTooLow
201,3,2021-03-11,00:01:35,PT2,TemperatureTooHigh
389,3,2021-03-06,00:03:17,PT2,Ok
276,3,2021-03-22,00:01:00,PT1,Ok
393,3,2021-03-02,00:01:00,PT2,Ok
